record_id,source_file,listing_id,monthly_rent_lkr,log_monthly_rent_lkr,property_type,district,location,furnishing_status,source,bedrooms,bathrooms,floor_area_sqft,land_perches,floor_number,car_parking_spaces,deposit_months,advance_months,lease_term_months,posted_year,posted_month,amenity_count,amenity_24_hour_security,amenity_3_phase_electricity,amenity_ac_rooms,amenity_attached_toilets,amenity_backup_generator,amenity_balcony,amenity_bbq_area,amenity_beachfront_sea_view,amenity_brand_new,amenity_business_center,amenity_cable_sat_tv,amenity_cafe_restaurant,amenity_central_ac,amenity_club_house,amenity_fiber_internet,amenity_fire_detection,amenity_fully_furnished,amenity_garage,amenity_garbage_removal,amenity_gated_community,amenity_gym,amenity_home_security_system,amenity_hot_water,amenity_internet,amenity_jogging_track,amenity_kids_play_area,amenity_laundry,amenity_lawn_garden,amenity_lifts,amenity_luxury_specs,amenity_maids_room,amenity_maids_toilet,amenity_on_site_parking,amenity_outdoor_garden,amenity_overhead_water_storage,amenity_pet_friendly,amenity_private_entrance,amenity_private_pool,amenity_roof_top_garden,amenity_separate_kitchen,amenity_serviced_apartment,amenity_sport_facilities,amenity_swimming_pool,amenity_waterfront_riverside,is_short_term,has_description,description_length,feature_anomaly_count
e13a741c6078dc48,room_&_annex_rentals_properties.csv,room-for-rent-in-gampaha-town-for-rent-gampaha-1,9500,9.15915233520675,Portion,Gampaha,Gampaha City,unknown,ikman_category,1,1,0,0,0,0,0,0,0,2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,95,0
551a89ea8dc93c23,room_&_annex_rentals_properties.csv,boarding-room-space-for-gents-for-rent-kalutara,5500,8.612685172875459,Portion,Kalutara,Panadura,unknown,ikman_category,5,1,0,0,0,0,0,0,0,2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,438,0
912670b688086790,room_&_annex_rentals_properties.csv,rooms-for-rent-for-rent-kalutara-17,9500,9.15915233520675,Portion,Kalutara,Panadura,unknown,ikman_category,1,1,0,0,0,0,0,0,0,2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,100,0
c345370c4ecd27f3,room_&_annex_rentals_properties.csv,rooms-for-rent-in-moratuwa-for-rent-colombo-96,7500,8.922791623969637,Portion,Colombo,Moratuwa,unknown,ikman_category,2,1,0,0,0,0,0,0,0,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0
fd1247a1b74ef3eb,room_&_annex_rentals_properties.csv,room-with-separate-entrance-for-rent-colombo,9500,9.15915233520675,Portion,Colombo,Piliyandala,unknown,ikman_category,1,1,0,0,0,0,0,0,0,2022,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,172,0
8e84056153cd7965,room_&_annex_rentals_properties.csv,annex-for-rent-dehiwala-for-rent-colombo-300,35000,10.463131911491967,Annex,Colombo,Dehiwala,furnished,ikman_category,1,1,0,0,0,0,0,0,0,2023,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,173,0
ae85770c65456149,room_&_annex_rentals_properties.csv,annex-for-rent-heiyanthuduwa-for-rent-gampaha,12000,9.392745258631441,Annex,Gampaha,Kelaniya,unknown,ikman_category,1,1,0,0,0,0,0,0,0,2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,429,0
307b4d90832cb82d,room_&_annex_rentals_properties.csv,rooms-for-rent-in-kaduwela-for-rent-colombo-3,8500,9.04793908261736,Portion,Colombo,Kaduwela,furnished,ikman_category,4,2,0,0,0,0,0,0,0,2022,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,176,0
a06aba8d7e824b63,room_&_annex_rentals_properties.csv,rent-for-rooms-in-panadura-for-rent-kalutara-2,3800,8.24301946898925,Room,Kalutara,Panadura,unknown,ikman_category,5,2,0,0,0,0,0,0,0,2022,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,91,0
bc49bdb34acd849a,room_&_annex_rentals_properties.csv,kaantaavn-sndhaa-nvaataen-phsukm-aetvaellvtt-for-rent-colombo-2,9999,9.210340371976184,Portion,Colombo,Colombo 6,unknown,ikman_category,5,1,0,0,0,0,0,0,0,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,300,0
