ad_title,ad_description,details,slug,title,type,price,timestamp,posted_date,deactivation_date,category,parent_category,location,geo_region,area,is_delivery_free,is_doorstep_delivery,is_dsd_applicable,is_member,is_authorized_dealer,is_featured_member,is_verified,membership_level,member_since,properties,user
Furnished Apartment for Rent - Rajagiriya | ikman,"FOR RENT.
Araliya court Rajagiriya.
Three beds and three baths - very spacious apartment .
Furnished ,Brand new kitchen, Fully  renovated, New paint, Air conditions , Fan...","Beds: 3, Baths: 3",furnished-apartment-for-rent-rajagiriya-for-rent-colombo,Furnished Apartment for Rent - Rajagiriya,for_rent,"Rs 80,000 /month",21 Jan 8:17 pm,2023-01-21T20:17:38+05:30,2023-03-18T04:24:12.000Z,Apartment Rentals,Property,Rajagiriya,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,False,False,False,False,free,,"{'Address': 'Araliya Court, Kalapaluwawa Road, Rajagiriya', 'Beds': '3', 'Baths': '3', 'Size': '1,300 sqft'}",c1c3e9b3df30c46852519004f1853959f17470000bd98783dbe6348cfc3699b2
02 Bedrooms Apartment at Monarch Residencies in Colombo 03 For Lease | ikman,"Fully Furnished 2 Bedrooms Apartment at Monarch Residencies in Colombo 03 For Long Term Lease (Adjoining Cinnamon Grand) 

Situated on the 25th Floor, 1,227 SqFt
Fully Ai...","Beds: 2, Baths: 2",02-bedrooms-apartment-at-monarch-residencies-in-colombo-03-for-lease-for-rent-colombo,02 Bedrooms Apartment at Monarch Residencies in Colombo 03 For Lease,for_rent,"Rs 375,000 /month",17 Jan 9:57 am,2023-01-17T09:57:48+05:30,2023-03-17T11:55:45.000Z,Apartment Rentals,Property,Colombo 3,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,False,False,False,False,free,,"{'Beds': '2', 'Baths': '2', 'Size': '1,227 sqft'}",45fbb20ca2682168db445ba7e8cbf7cd734b2faa2be6ff4c98f199b852de3451
brand new luxury apartment for rent in dehiwala | ikman,3 bedroom with 3 bathroom 1 attached 1 common 1 servant hall kitchen pantry fully tiled 5th floor brand new master bedroom with a/c Swimming pool and gym  24 hours securi...,"Beds: 3, Baths: 2",brand-new-luxury-apartment-for-rent-in-dehiwala-for-rent-colombo-171,brand new luxury apartment for rent in dehiwala,for_rent,"Rs 125,000 /month",17 Jan 9:53 am,2023-01-17T09:53:41+05:30,2023-03-18T04:23:39.000Z,Apartment Rentals,Property,Dehiwala,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,True,premium,November 2015,"{'Address': 'facing kawdana road dehiwala ', 'Beds': '3', 'Baths': '2', 'Size': '1,320 sqft'}",3bdbaf420bbcb12081a81ca6e28e9aee9f548867fd3981fbb08ee867ba834e1b
2 BR Apartment For Rent in Rajagiriya | AEC14 | ikman,"2 BR Apartment For Rent in Rajagiriya | AEC14

Rajagiriya
on 12 Residencies
2 Bedrooms
2 Washrooms
Mid Floor
1000 Sq.ft
Un-Furnished
Gym
A/C Rooms
Servant Toilet
Hot Wate...","Beds: 2, Baths: 2",2-br-apartment-for-rent-in-rajagiriya-aec14-for-rent-colombo,2 BR Apartment For Rent in Rajagiriya | AEC14,for_rent,"Rs 125,000 /month",17 Jan 9:48 am,2023-01-17T09:48:40+05:30,2023-03-18T04:18:21.000Z,Apartment Rentals,Property,Rajagiriya,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,True,premium,February 2019,"{'Beds': '2', 'Baths': '2', 'Size': '1,000 sqft'}",08bb9da274803464bb005d2a6f590b039328b981f4c9b13a421349060363143a
3 BR Apartment For Rent in Mount Lavinia | AEC12 | ikman,"3 BR Apartment For Rent in Mount Lavinia - AEC12

Unfurnished 
Beach Rd
3 Bedrooms
3 Washrooms
1550 Sq.ft
Lower Floor
Big Hall
Servant Washroom
Balconies
Hot Water
Parkin...","Beds: 3, Baths: 3",3-br-apartment-for-rent-in-mount-lavinia-aec12-for-rent-colombo,3 BR Apartment For Rent in Mount Lavinia | AEC12,for_rent,"Rs 110,000 /month",17 Jan 9:39 am,2023-01-17T09:39:10+05:30,2023-03-18T04:09:08.000Z,Apartment Rentals,Property,Mount Lavinia,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,True,premium,February 2019,"{'Beds': '3', 'Baths': '3', 'Size': '1,550 sqft'}",08bb9da274803464bb005d2a6f590b039328b981f4c9b13a421349060363143a
Apartment for rent in Astoria Colombo 03 | ikman,2 bedroom apartment for rent,"Beds: 2, Baths: 2",apartment-for-rent-in-astoria-colombo-03-for-rent-colombo,Apartment for rent in Astoria Colombo 03,for_rent,"Rs 371,440 /month",17 Jan 9:38 am,2023-01-17T09:38:56+05:30,2023-03-18T04:08:37.000Z,Apartment Rentals,Property,Colombo 3,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,False,premium,October 2019,"{'Beds': '2', 'Baths': '2', 'Size': '1,195 sqft'}",ecf3994cfb270a3a6b643c9404916c9ed69fba041f6c0c4a3de6d1e52b5edb8a
2 BR Apartment For Rent in Havelock City - AEC11 | ikman,"2 BR Apartment for Rent in Havelock City - AEC11

Colombo 5
Havelock City
Strafford Tower
2 Bedrooms
2 Washrooms
Higher Floor
1150 Sqft
Fully Furnished
Garden / City View...","Beds: 2, Baths: 2",2-br-apartment-for-rent-in-havelock-city-aec11-for-rent-colombo,2 BR Apartment For Rent in Havelock City - AEC11,for_rent,"Rs 250,000 /month",17 Jan 9:29 am,2023-01-17T09:29:11+05:30,2023-03-18T03:59:10.000Z,Apartment Rentals,Property,Colombo 5,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,True,premium,February 2019,"{'Address': 'Havelock City', 'Beds': '2', 'Baths': '2', 'Size': '1,150 sqft'}",08bb9da274803464bb005d2a6f590b039328b981f4c9b13a421349060363143a
Apartment for rent in Kalubowila | ikman,"This beautiful apartment is second floor of a two Storey Luxury House and Fully furnished with modern furnitures.
Don't miss out this valuable opportunity! 

Property con...","Beds: 3, Baths: 2",apartment-for-rent-in-kalubowila-for-rent-colombo-99,Apartment for rent in Kalubowila,for_rent,"Rs 95,000 /month",17 Jan 9:23 am,2023-01-17T09:23:20+05:30,2023-03-18T03:53:15.000Z,Apartment Rentals,Property,Dehiwala,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,True,premium,February 2022,"{'Address': 'Kalubowila', 'Beds': '3', 'Baths': '2', 'Size': '1,250 sqft'}",b466d23e03c47779c3d8c81a1c69341a09cd903f7bfbc2170c8e1d09a8755651
Apartment for Rent at Havelock City Colombo 05 | ikman,"2,900 Sq ft
4 Bedroom
3 Bathrooms
Servants Bedroom
Servants Bathroom
2 Car parking slots
Teak floor
Rental - USD 3250","Beds: 4, Baths: 3",apartment-for-rent-at-havelock-city-colombo-05-for-rent-colombo,Apartment for Rent at Havelock City Colombo 05,for_rent,"Rs 1,170,000 /month",17 Jan 9:01 am,2023-01-17T09:01:42+05:30,2023-03-18T03:17:46.000Z,Apartment Rentals,Property,Colombo 5,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,False,premium,October 2019,"{'Beds': '4', 'Baths': '3', 'Size': '2,900 sqft'}",ecf3994cfb270a3a6b643c9404916c9ed69fba041f6c0c4a3de6d1e52b5edb8a
Apartment for Rent in Colombo 02 | ikman,"City View
1130 Sq ft
2 Bedrooms
2 Bathrooms
Furnished
1 Parking Space
Rental - USD 1,300","Beds: 2, Baths: 2",apartment-for-rent-in-colombo-02-for-rent-colombo-41,Apartment for Rent in Colombo 02,for_rent,"Rs 476,000 /month",17 Jan 8:44 am,2023-01-17T08:44:33+05:30,2023-03-18T03:14:06.000Z,Apartment Rentals,Property,Colombo 2,LK-11,"{'id': 1506, 'name': 'Colombo'}",False,False,False,True,False,False,False,premium,October 2019,"{'Beds': '2', 'Baths': '2', 'Size': '1,130 sqft'}",ecf3994cfb270a3a6b643c9404916c9ed69fba041f6c0c4a3de6d1e52b5edb8a
