URL,Title,Location,Price_Per_Month,Property Type,Bedrooms,Bathrooms/WCs,Floor area,Floor Number,Deposit,Min. lease term,Availability,Price per sq.ft.,Car parking spaces,Furnishing Status,Advance payment,Short term,Description,Features
https://www.lankapropertyweb.com/rentals/property_details-5800979.html,70p Land With House For Long Term Lease As Commercial Property (LC 1761),Mulleriyawa,"Rs. 600,000",Multipurpose,N/A,2,2000 sq.ft.,N/A,N/A,N/A,Available Now,Rs. 300 Per Month,N/A,N/A,N/A,N/A,"Our Reference No. LC 1761, (Please quote our reference number when inquiring), • Area 2000 Sqft, • 2 Rooms, • Central open hall, • Mini Room, • 2 Washrooms, • Ample Uncovered Parking, • Separate Electricity and Water meters, • Access Road Width: 20 ft, • Surrounded by 6 foot boundary wall, • 1 km to Avissawella road., • 2 km to Koswatte Town, • 5 km to Kaduwala Expressway Interchange, • 5 km to Kotalawala Expressway Interchange., • 8 km to Athurugiriya Expressway Interchange., • 20 meters to the main road, • Contract Term: Minimum 2 Years and Above, • Advance: 6 months (Negotiable), • Security Deposit: 6 Months (negotiable), NB: Price quoted is as indicated by the owner. Genuine buyers are encouraged and invited to make reasonable offers after inspection irrespective of the price quoted., We possess a large database of residential lands & houses in good neighborhoods in Colombo & suburbs. Please feel free to let us know your requirements. If this property does not meet with your needs, we are happy to help you choose the best., • For more information, call the advertised number",N/A
https://www.lankapropertyweb.com/rentals/property_details-5800672.html,Espacio/full sea views/furnished/03beds/for rent in Colombo-06/Wellawatta,Colombo 6,"Rs. 340,000",Apartment,3,3,1550 sq.ft.,N/A,N/A,N/A,Available Now,Rs. 219 Per Month,1,Furnished,N/A,N/A,N/A,N/A
https://www.lankapropertyweb.com/rentals/property_details-5800663.html,Datum Paradise/furnished/03beds/for rent in Colombo-04/Bambalapity,Colombo 4,"Rs. 295,000",Apartment,3,3,1300 sq.ft.,N/A,N/A,N/A,Available Now,Rs. 227 Per Month,1,Furnished,N/A,N/A,N/A,N/A
https://www.lankapropertyweb.com/rentals/property_details-5790586.html,Luxury 5BD House with Pool for Rent – Thalawathugoda,Thalawathugoda,"Rs. 800,000",House,5,4,5500 sq.ft.,N/A,N/A,N/A,Available Now,N/A,4,Furnished,N/A,N/A,"Luxury 5-Bedroom House with Pool for Rent – Thalawathugoda (Wickramasinghepura), Ideal for Expats | Fully Furnished | Prime Residential Area, 5,500 Sq.ft | 2-Storey Layout | 20 Perches, 5 Bedrooms with Built-In Wardrobes (Master with Walk-In Closet) | 4 Spacious Bathrooms, Premium Features:, 32' x 15' Swimming Pool & Landscaped Garden, Stylish Living & Dining Areas, Modern Kitchen & Pantry with Italian Appliances, Fully Air-Conditioned | Custom Furniture & Appliances, Large Double Garage (Auto Roller Gate – 20ft) | Parking for 4 Vehicles, Roof Terrace & Maid’s Quarters with Separate Toilet, CCTV Security System | Backup Generator, Dual Road Access, Rent: Rs. 800,000 / Month, Easy Access to Pelawatta, Battaramulla, Thalawathugoda, (Overseas School of Colombo Nearby), For more details or to arrange a viewing, contact T&S Capital via WhatsApp., For any property solutions, drop us a WhatsApp message — we’re here to assist! Totally free of charge., ⚠ WhatsApp only. No emails.","AC ROOMS, SWIMMING POOL, LUXURY SPECS, HOT WATER, MAINLINE WATER, 3 PHASE ELECTRICITY, GARAGE, LAWN GARDEN"
https://www.lankapropertyweb.com/rentals/property_details-5369098.html,Luxury fully furnished house for rent in Colombo 5 for Rs. 225000,"Kirula Road, Colombo 5","Rs. 225,000($ 615)",House,3,2,N/A,N/A,N/A,N/A,Available Now,N/A,1,Furnished,N/A,No,N/A,"AC ROOMS, LUXURY SPECS, HOT WATER, MAINLINE WATER, 3 PHASE ELECTRICITY, GARAGE, ATTACHED TOILETS, MAID'S ROOM, MAID'S TOILET, OVERHEAD WATER STORAGE"
https://www.lankapropertyweb.com/rentals/property_details-5795529.html,"Spacious Two-Story House for Rent in Battaramulla, Pelawatta","pelawatta, Battaramulla","Rs. 500,000",House,4,3,2600 sq.ft.,N/A,N/A,N/A,Available Now,N/A,1,Unfurnished,N/A,N/A,"Spacious Two-Story House for Rent – Battaramulla, Pelawatta, 4 Bedrooms | 3 Bathrooms | 2,600 Sq.Ft | 40 Perch Land, Prime residential location in Pelawatta, Battaramulla, Two-storied house with generous living space, Bedrooms:Bathrooms:3, Separate living and dining areas, Fully equipped pantry and wet kitchen, Maids’ room and driver’s room with separate facilities, Private swimming pool for leisure and relaxation, Equipped with generator, solar power system, and hot water, Ample parking space, Monthly Rent: LKR 500,000, For more details or to arrange a viewing, contact T&S Capital via WhatsApp., For any property solutions, drop us a WhatsApp message—we’re here to assist! totally free of charge, ⚠ WhatsApp only. No emails.","AC ROOMS, SWIMMING POOL, HOT WATER, MAINLINE WATER, 3 PHASE ELECTRICITY, INDOOR GARDEN, GARAGE"
https://www.lankapropertyweb.com/rentals/property_details-5509369.html,"Showroom/Office Space for Rent in Col.2 for Rs.400,000","Ramanayake Mawatha, Colombo 2","Rs. 400,000($ 1,320)",Office space,N/A,1,1335 sq.ft.,N/A,N/A,N/A,Available Now,Rs. 300 Per Month,2,N/A,N/A,No,N/A,N/A
https://www.lankapropertyweb.com/rentals/property_details-5800657.html,Luxury House for Rent in Colombo 7,"Wijerama Mawatha, Colombo 7","Rs. 750,000",House,4,4,4000 sq.ft.,N/A,N/A,N/A,Available Now,N/A,N/A,Furnished,N/A,N/A,N/A,"AC ROOMS, LUXURY SPECS, HOT WATER, 3 PHASE ELECTRICITY, HOME SECURITY SYSTEM, INDOOR GARDEN, GARAGE, MAID'S ROOM, MAID'S TOILET, OVERHEAD WATER STORAGE"
https://www.lankapropertyweb.com/rentals/property_details-5729348.html,"Spacious 4 Bedroom House for Rent in Thalawathugoda for Rs.200,000","Samagi mawatha, Thalawathugoda","Rs. 200,000($ 681)",House,4,3,4500 sq.ft.,N/A,N/A,N/A,Available Now,N/A,2,Semi-furnished,N/A,N/A,N/A,"AC ROOMS, LUXURY SPECS, HOT WATER, MAINLINE WATER, 3 PHASE ELECTRICITY, GARAGE, ATTACHED TOILETS, MAID'S ROOM, MAID'S TOILET, OVERHEAD WATER STORAGE"
https://www.lankapropertyweb.com/rentals/property_details-5742687.html,"Luxury Apartment @ Sky Gardens for Rent in Rajagiriya for Rs.350,000","Buthgamuwa Road, Rajagiriya","Rs. 350,000($ 1,185)",Apartment,3,2,2200 sq.ft.,N/A,N/A,N/A,Available Now,Rs. 159 Per Month,2,Furnished,N/A,N/A,N/A,"AC ROOMS, SWIMMING POOL, 24 HOUR SECURITY, LUXURY SPECS, HOT WATER, LANDLINE TEL, 3 PHASE ELECTRICITY, ROOF TOP GARDEN, GARAGE, GYM, BALCONY, ATTACHED TOILETS, GARBAGE REMOVAL, MAID'S ROOM, MAID'S TOILET, OVERHEAD WATER STORAGE"
https://www.lankapropertyweb.com/rentals/property_details-5747463.html,"Showroom Space for Rent in Col.3 for Rs.650,000","Duplication Road, Colombo 3","Rs. 650,000($ 2,203)",Office space,N/A,2,1600 sq.ft.,N/A,N/A,N/A,Available Now,Rs. 406 Per Month,3,N/A,N/A,N/A,N/A,"3 PHASE ELECTRICITY, BACKUP GENERATOR"
